Reason, Covidence #, DOI, Title, Authors, Published Year, Journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not vasc,#10,https://dx.doi.org/10.1016/j.amjcard.2024.05.027,Development and Validation of Artificial Intelligence-Based Algorithms for Predicting the Segments Debulked by Rotational Atherectomy Using Intravascular Ultrasound Images.,"Hashimoto, Kenta; Fujii, Kenichi; Ueda, Daiju; Sumiyoshi, Akinori; Hasegawa, Katsuyuki; Fukuhara, Rei; Otagaki, Munemitsu; Okamura, Atsunori; Yamamoto, Wataru; Kawano, Naoki; Yamamoto, Akira; Miki, Yukio; Shiojima, Iichiro",2024,The American journal of cardiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not vasc ,#7190,10.1007/s00521-012-0864-y,Computer-aided diagnosis (CAD) of the skin disease based on an intelligent classification of sonogram using neural network,"Kia, S; Setayeshi, S; Shamsaei, M; Kia, M",2013,NEURAL COMPUTING & APPLICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#561,https://dx.doi.org/10.1111/iwj.13918,Clinical validation of a smartphone application for automated wound measurement in patients with venous leg ulcers.,"Fong, Khi Yung; Lai, Tina Peiting; Chan, Kai Siang; See, Isabel Jia Le; Goh, Cheng Cheng; Muthuveerappa, Sivakami; Tan, Audrey Huimin; Liang, Shanying; Lo, Zhiwen Joseph",2023,International wound journal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not vasc,#578,https://dx.doi.org/10.1002/mp.16169,Automatic segmentation of thrombosed aortic dissection in post-operative CT-angiography images.,"Feng, Hanying; Fu, Zheng; Wang, Yulin; Zhang, Puming; Lai, Hao; Zhao, Jun",2023,Medical physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Vasc,#595,https://dx.doi.org/10.1109/TMI.2022.3207093,Graph Convolution Based Cross-Network Multiscale Feature Fusion for Deep Vessel Segmentation.,"Zhao, Gangming; Liang, Kongming; Pan, Chengwei; Zhang, Fandong; Wu, Xianpeng; Hu, Xinyang; Yu, Yizhou",2023,IEEE transactions on medical imaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not vasc,#654,https://dx.doi.org/10.1109/EMBC48229.2022.9871115,Extravasation Screening and Severity Prediction from Skin Lesion Image using Deep Neural Networks.,"Munthuli, A; Intanai, J; Tossanuch, P; Pooprasert, P; Ingpochai, P; Boonyasatian, S; Kittithammo, K; Thammarach, P; Boonmak, T; Khaengthanyakan, S; Yaemsuk, A; Vanichvarodom, P; Phienphanich, P; Pongcharoen, P; Sakonlaya, D; Sitthiwatthanawong, P; Wetchawalit, S; Chakkavittumrong, P; Thongthawee, B; Pathomjaruwat, T; Tantibundhit, C",2022,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not vasc,#805,https://dx.doi.org/10.1097/MAT.0000000000001548,Ultrasound Measurement of Vascular Distensibility Based on Edge Detection and Speckle Tracking Using Ultrasound DICOM Data.,"Funes-Lora, Miguel Angel; Thelen, Brian J; Shih, Albert J; Hamilton, James; Rajaram, Nirmala; Lyu, Jingxuan; Zheng, Yihao; Morgan, Timothy; Weitzel, William F",2022,ASAIO journal (American Society for Artificial Internal Organs : 1992),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not vasc,#920,https://dx.doi.org/10.1159/000515642,Artificial Intelligence Methods for Rapid Vascular Access Aneurysm Classification in Remote or In-Person Settings.,"Krackov, Warren; Sor, Murat; Razdan, Rishi; Zheng, Hanjie; Kotanko, Peter",2021,Blood purification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not CV,#1025,https://dx.doi.org/10.1364/JOSAA.394985,Physiological wound assessment from coregistered and segmented tissue hemoglobin maps.,"Robledo, E A; Schutzman, R; Fang, R; Fernandez, C; Kwasinski, R; Leiva, K; Perez-Clavijo, F; Godavarty, A",2020,"Journal of the Optical Society of America. A, Optics, image science, and vision",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not vasc,#1106,https://dx.doi.org/10.1002/rcs.2033,A novel automated lumen segmentation and classification algorithm for detection of irregular protrusion after stents deployment.,"Yang, Su; Yoon, Hyuck-Jun; Yazdi, Seyed Jamaleddin Mostafavi; Lee, Jong-Ha",2020,The international journal of medical robotics + computer assisted surgery : MRCAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
