Covidence #,DOI,Title,Authors,Published Year,Journal,Purpose,Vascular Disease/Procedure,Data Source,Period Start,Period end,Ground Truth,Image Type,Input,Output,Sample Size,Event Size,CV Architecture,Explainability?,Validation Method,Train/Test/Validate,Outcomes,External Validation Outcomes,Participants,Predictors,Outcomes_probast,Analysis,Overall,"Title (prediction, population, outcome)","Abstract  (objectives, design, predictors, outcome, stats, results)",Background (rationale),Objectives,Data (Source),Data (Dates),Participants (setting),Participants (eligibility),Paritcipants (treatments),Data Preparation (similar/diff b/w groups?),"Outcome (definition, timing)",Outcome (subjective),Outcome (blind),Analysis (use: eval of model performance?),Analysis (predictors handling: transforms etc.),"Analysis (model rationale, hyperparam)",Analysis (heterogeneity),Analysis (measures and plots),Analysis (model updating),Analysis (predictions calculation),Class Imbalance methods,Fairness,"Model Output (if classification, what threshold ID?)","Model specification (how to use, differences for healthcare)","Particiapants (number of participants with/without outcome, follow-up, ?diagram)","Participants (characteristics, number with missing data)","Model development (# of participants, event rate)","Model specification (formula, code, program)","Model performance (CI,)",Model updating (results),Interpretation,Limitations,Usability (poor input),Usability (interaction/expertise),Usability (future steps),Ethical approval,Funding,Conflicts of Intereset,Protocol,Registration,Data sharing,Code sharing,Patient and Public involvement,,,,,,,
#6,https://dx.doi.org/10.1007/s10278-024-01164-0,Streamlining Acute Abdominal Aortic Dissection Management-An AI-based CT Imaging Workflow.,"Raj, Anish; Allababidi, Ahmad; Kayed, Hany; Gerken, Andreas L H; Muller, Julia; Schoenberg, Stefan O; Zollner, Frank G; Rink, Johann S",2024,Journal of imaging informatics in medicine,Segmentation->Diagnosis,Abdominal Aortic dissection,Retrospective (single),2020,2021,Radiologist,CT,,Binary (AD),195,94,CNN,0,5-fold cross validation, 80/20,"AUROC=0.932, acc=0.860, sens=0.885",1,l,l,l,l,l,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,l,,,,,,
#8,https://dx.doi.org/10.1016/j.jvs.2024.06.001,Volumetric Analysis of Acute Uncomplicated Type B Aortic Dissection Using an Automated Deep Learning Aortic Zone Segmentation Model.,"Krebs, Jonathan R; Imran, Muhammad; Fazzone, Brian; Viscardi, Chelsea; Berwick, Benjamin; Stinson, Griffin; Heithaus, Evans; Upchurch, Gilbert R Jr; Shao, Wei; Cooper, Michol A",2024,Journal of vascular surgery,Segmentation,Type B Aortic Dissection,Retrospective (single),2011,2020,Physician Team,CT,,Segmented aorta (SVS zones),59,N/A,Unet,0,4-fold cross validation,NR,DC=0.73,0,l,l,h,h,h,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,u,,,,,,
#12,https://dx.doi.org/10.1016/j.crad.2024.04.015,Deep learning-based fully automatic screening of carotid artery plaques in computed tomography angiography: a multicenter study.,"Zhai, D; Liu, R; Liu, Y; Yin, H; Tang, W; Yang, J; Liu, K; Fan, G; Ju, S; Cai, W",2024,Clinical radiology,Segmentation->Diagnosis,Carotid stenosis,Retrospective (multi),2017,2022,Radiologist,CTA,,"classification: Stenosis (no Calcify, mixed, calcified)",400,N/A,"Unet,ResNet",0,NR,NR,"sens=0.834, f1=0.764, froc=0.657, cohen kappa=0.728",1,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,h,,,,,,
#15,https://dx.doi.org/10.1177/15266028241252097,Use of Artificial Intelligence With Deep Learning Approaches for the Follow-up of Infrarenal Endovascular Aortic Repair.,"Coatsaliou, Quentin; Lareyre, Fabien; Raffort, Juliette; Webster, Claire; Bicknell, Colin; Pouncey, Anna; Ducasse, Eric; Caradu, Caroline",2024,Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists,Diagnosis,EVAR,Retrospective (single),2017,2020,Surgeon,CT,,Endoleak (binary),56,34,Unet,0,NR,NR,"AUC=0.75, sens=0.8947, spec=0.9125, ppv=0.9067, npv=0.9012",0,l,l,l,h,h,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,,,,,,,
#26,https://dx.doi.org/10.1177/17085381241246312,A deep learning-based calculation system for plaque stenosis severity on common carotid artery of ultrasound images.,"Liu, Mengmeng; Gao, Wenjing; Song, Di; Dong, Yinghui; Hong, Shaofu; Cui, Chen; Shi, Siyuan; Wu, Kai; Chen, Jiayi; Xu, Jinfeng; Dong, Fajin",2024,Vascular,Segmentation,Carotid stenosis,Retrospective (multi),2021,2022,Sonographer,US,Transverse CCA US,LI border and MA border -> stenosis estimate,376,N/A,Unet+EfficientNet,0,NR,60/30/10,DC=0.9331,1,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,,,,,,,
#28,https://dx.doi.org/10.2174/0115734056296233240401061756,A Video-based Automated Tracking and Analysis System of Plaque Burden in Carotid Artery Using Deep Learning: A Comparison with Senior Sonographers.,"Gao, Wenjing; Liu, Mengmeng; Xu, Jinfeng; Hong, Shaofu; Chen, Jiayi; Cui, Chen; Shi, Siyuan; Dong, Yinghui; Song, Di; Dong, Fajin",2024,Current medical imaging,Segmentation,Carotid stenosis,Retrospective (single),2022,2022,Sonographer,video US ,transection video (11048 frames) of CCA,"Segmented intima and adventitia (lumen and wall), had formula to calculate plaque burden afterwards",88,N/A,"YOLOv5 (detection), Robust Video Matting (best), Unet, TransBTS",0,NR,60/30/10,"Segmentation: Dice=0.94, correlation coefficient=0.61. Detection: precision=0.995, IoU=0.9996",0,l,l,l,h,h,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,,,,,,,
#29,https://dx.doi.org/10.1109/TUFFC.2024.3389553,Automatic Segmentation of Abdominal Aortic Aneurysms from Time-Resolved 3D Ultrasound Images Using Deep Learning.,"Maas, Esther J; Awasthi, Navchetan; Van Pelt, Esther G; Van Sambeek, Marc M R H M; Lopata, Richard G P",2024,"IEEE transactions on ultrasonics, ferroelectrics, and frequency control",Segmentation,AAA,Retrospective (single),2014,2022,"CTA then team (Sonographers, vascular surgeon, PhD)",3D US,3D+t US AAA images,"Segmented aorta (1 slice, including dilatation)",500 (2495 images),N/A,nnU-net,0,NR,80/20,"HD=3.8, dice=0.915, acc=0.988, sens=0.878, spec=0.999",0,l,l,l,l,l,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,
#38,https://dx.doi.org/10.1177/17085381241236571,Classification of anatomic patterns of peripheral artery disease with automated machine learning (AutoML).,"Rusinovich, Yury; Rusinovich, Volha; Buhayenka, Aliaksei; Liashko, Vitalii; Sabanov, Arsen; Holstein, David J F; Aldmour, Samer; Doss, Markus; Branzan, Daniela",2024,Vascular,Diagnosis,PAD (femoral popliteal disease),Open source (web-indexed search),NR,NR,Vascular medicine researcher,DSA,"angiograms of femoral, popliteal, femoropopliteal segments","classification: disease (Global Limb Anatomic Staging System, 0-4)",323,N/A,AutoML (Vertex AI from Google Cloud),0,,80/10/10',"Precision=0.77, kappa=0.85, ",0,u,h,h,h,h,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,,,,,,,
#43,https://dx.doi.org/10.1055/a-2180-8405,Real-time carotid plaque recognition from dynamic ultrasound videos based on artificial neural network.,"Wei, Yao; Yang, Bin; Wei, Ling; Xue, Jun; Zhu, Yicheng; Li, Jianchu; Qin, Mingwei; Zhang, Shuyang; Dai, Qing; Yang, Meng",2023,"Ultraschall in der Medizin (Stuttgart, Germany : 1980)",Segmentation->Diagnosis,Carotid stenosis,Retrospective (single),NR,NR,Sonographer,video US ,"CCA, ICA and ECA. B-mode. Longitudinal and transverse","Segmentation of artery and plaque (if present), then classify into positive/negative based on  Standards for Carotid Ultrasound Examination in Healthy Subjects in China from these segmentations",445 (3259 images),1586 (based on standard),ANN (Be Easy to Use/BETU based on YOLOv4),0,NR,83/17,"acc=0.985, kappa=0.967",0,u,h,h,h,h,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,,,,,,,
#44,https://dx.doi.org/10.1177/15266028231208159,Artificial Intelligence-Assisted Sac Diameter Assessment for Complex Endovascular Aortic Repair.,"Wegner, Moritz; Fontaine, Vincent; Nana, Petroula; Dieffenbach, Bryan V; Fabre, Dominique; Haulon, Stephan",2023,Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists,Quantification (get aortic diam),FEVAR for complex AAAs,Retrospective (single),2019,2023,Clinicians,CTA,Pre-op and post-op CTA,"Aortic diameter (software: aortic localization, aortic segmentation, refinement, centerline definition, and diameter measurement)",50 (100 images),N/A,Deep learning (Augmented Radiology for Vascular Aneurysm/ARVA). Software,0,NR,NR,"Acc=0.89, median abs diff =2.0mm",0,h,l,l,h,h,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,,,,,,,
